timestamp,location,vehicle_count,hour_of_day,day_of_week,congestion_level
2017-06-04 22:00:00,2,18,22,Sunday,Low
2017-05-22 10:00:00,1,92,10,Monday,High
2017-01-02 23:00:00,2,14,23,Monday,Low
2016-07-01 19:00:00,1,49,19,Friday,High
2017-01-27 09:00:00,1,54,9,Friday,High
2016-01-27 14:00:00,3,24,14,Wednesday,Medium
2017-06-08 01:00:00,2,31,1,Thursday,High
2017-02-15 15:00:00,4,13,15,Wednesday,Low
2017-01-09 16:00:00,1,88,16,Monday,High
2015-12-23 02:00:00,3,4,2,Wednesday,Low
2017-03-13 17:00:00,1,66,17,Monday,High
2017-06-09 16:00:00,4,10,16,Friday,Low
2016-07-04 14:00:00,3,10,14,Monday,Low
2017-04-29 23:00:00,4,6,23,Saturday,Low
2017-04-03 19:00:00,4,9,19,Monday,Low
2017-06-06 19:00:00,4,6,19,Tuesday,Low
2015-11-03 08:00:00,1,15,8,Tuesday,Low
2016-12-25 03:00:00,1,23,3,Sunday,Medium
2017-05-20 08:00:00,1,36,8,Saturday,High
2017-05-24 23:00:00,2,34,23,Wednesday,High
2016-06-26 07:00:00,1,18,7,Sunday,Low
2017-06-28 09:00:00,2,23,9,Wednesday,Medium
2016-04-14 12:00:00,3,14,12,Thursday,Low
2017-06-16 06:00:00,2,15,6,Friday,Low
2016-05-31 09:00:00,1,32,9,Tuesday,High
2016-07-21 21:00:00,3,43,21,Thursday,High
2016-06-24 17:00:00,1,45,17,Friday,High
2016-08-11 13:00:00,2,16,13,Thursday,Low
2015-12-19 06:00:00,1,11,6,Saturday,Low
2017-04-06 22:00:00,4,8,22,Thursday,Low
2016-03-27 10:00:00,3,4,10,Sunday,Low
2017-06-25 09:00:00,4,6,9,Sunday,Low
2017-02-24 16:00:00,4,19,16,Friday,Low
2016-04-02 23:00:00,1,32,23,Saturday,High
2017-05-28 07:00:00,2,11,7,Sunday,Low
2015-11-13 09:00:00,2,8,9,Friday,Low
2016-11-28 16:00:00,3,21,16,Monday,Medium
2016-12-01 16:00:00,3,17,16,Thursday,Low
2016-02-11 11:00:00,2,14,11,Thursday,Low
2015-11-09 17:00:00,1,19,17,Monday,Low
2016-09-14 01:00:00,3,9,1,Wednesday,Low
2016-01-31 12:00:00,1,22,12,Sunday,Medium
2016-04-22 20:00:00,3,34,20,Friday,High
2017-05-14 11:00:00,3,8,11,Sunday,Low
2015-11-27 10:00:00,1,33,10,Friday,High
2017-04-04 23:00:00,1,85,23,Tuesday,High
2017-01-22 18:00:00,3,9,18,Sunday,Low
2015-11-24 00:00:00,1,23,0,Tuesday,Medium
2016-06-10 10:00:00,3,9,10,Friday,Low
2016-02-21 17:00:00,1,25,17,Sunday,Medium
2017-06-23 21:00:00,2,32,21,Friday,High
2016-01-24 17:00:00,1,19,17,Sunday,Low
2016-01-25 01:00:00,3,5,1,Monday,Low
2016-09-02 20:00:00,2,17,20,Friday,Low
2016-04-01 22:00:00,1,34,22,Friday,High
2016-02-07 21:00:00,3,8,21,Sunday,Low
2017-01-27 22:00:00,2,17,22,Friday,Low
2016-03-03 14:00:00,1,40,14,Thursday,High
2017-06-01 00:00:00,4,9,0,Thursday,Low
2017-01-26 21:00:00,1,88,21,Thursday,High
2016-12-20 05:00:00,1,35,5,Tuesday,High
2016-07-13 12:00:00,2,12,12,Wednesday,Low
2016-10-15 04:00:00,3,4,4,Saturday,Low
2017-01-29 10:00:00,1,44,10,Sunday,High
2016-04-20 13:00:00,1,36,13,Wednesday,High
2017-02-16 14:00:00,4,5,14,Thursday,Low
2017-02-04 14:00:00,1,44,14,Saturday,High
2016-05-16 15:00:00,1,47,15,Monday,High
2017-04-30 11:00:00,3,19,11,Sunday,Low
2017-04-11 13:00:00,1,99,13,Tuesday,High
2016-07-23 16:00:00,1,33,16,Saturday,High
2016-06-07 22:00:00,1,46,22,Tuesday,High
2016-03-21 03:00:00,2,8,3,Monday,Low
2016-11-16 07:00:00,2,16,7,Wednesday,Low
2017-03-25 04:00:00,1,41,4,Saturday,High
2017-02-04 16:00:00,1,51,16,Saturday,High
2017-06-10 09:00:00,4,8,9,Saturday,Low
2016-07-19 04:00:00,1,25,4,Tuesday,Medium
2017-01-28 08:00:00,2,6,8,Saturday,Low
2016-11-15 19:00:00,2,17,19,Tuesday,Low
2017-03-22 08:00:00,1,55,8,Wednesday,High
2016-06-02 09:00:00,1,33,9,Thursday,High
2016-11-12 15:00:00,2,8,15,Saturday,Low
2017-05-20 04:00:00,1,35,4,Saturday,High
2016-10-29 08:00:00,2,6,8,Saturday,Low
2016-05-22 11:00:00,3,14,11,Sunday,Low
2016-06-09 09:00:00,1,32,9,Thursday,High
2016-06-15 11:00:00,2,13,11,Wednesday,Low
2016-03-16 20:00:00,1,44,20,Wednesday,High
2017-06-01 16:00:00,1,117,16,Thursday,High
2016-11-03 01:00:00,1,47,1,Thursday,High
2016-01-18 16:00:00,1,38,16,Monday,High
2016-11-01 18:00:00,3,22,18,Tuesday,Medium
2017-05-24 06:00:00,1,49,6,Wednesday,High
2017-02-21 07:00:00,1,48,7,Tuesday,High
2015-11-29 05:00:00,2,9,5,Sunday,Low
2016-05-31 15:00:00,1,51,15,Tuesday,High
2017-03-14 14:00:00,3,27,14,Tuesday,Medium
2017-05-04 05:00:00,2,19,5,Thursday,Low
2017-01-28 03:00:00,4,3,3,Saturday,Low
2017-05-29 21:00:00,3,20,21,Monday,Medium
2016-07-26 12:00:00,3,17,12,Tuesday,Low
2016-04-24 10:00:00,1,23,10,Sunday,Medium
2016-12-04 16:00:00,1,43,16,Sunday,High
2016-03-17 14:00:00,3,11,14,Thursday,Low
2017-05-09 15:00:00,1,95,15,Tuesday,High
2015-11-08 15:00:00,1,14,15,Sunday,Low
2017-03-04 02:00:00,1,48,2,Saturday,High
2016-02-28 07:00:00,3,10,7,Sunday,Low
2016-08-05 08:00:00,3,3,8,Friday,Low
2017-05-17 04:00:00,1,36,4,Wednesday,High
2017-06-05 07:00:00,2,16,7,Monday,Low
2017-04-29 03:00:00,4,5,3,Saturday,Low
2017-01-07 04:00:00,2,9,4,Saturday,Low
2016-04-19 22:00:00,3,19,22,Tuesday,Low
2016-09-03 22:00:00,1,36,22,Saturday,High
2017-05-07 21:00:00,1,59,21,Sunday,High
2017-06-16 17:00:00,1,92,17,Friday,High
2017-04-21 07:00:00,4,3,7,Friday,Low
2017-04-04 10:00:00,2,24,10,Tuesday,Medium
2017-04-28 13:00:00,1,73,13,Friday,High
2016-05-28 07:00:00,3,6,7,Saturday,Low
2016-02-24 15:00:00,1,44,15,Wednesday,High
2016-03-04 19:00:00,3,29,19,Friday,Medium
2017-05-14 23:00:00,2,17,23,Sunday,Low
2015-11-10 09:00:00,1,34,9,Tuesday,High
2017-01-06 16:00:00,2,18,16,Friday,Low
2017-01-23 14:00:00,2,21,14,Monday,Medium
2016-08-09 02:00:00,1,34,2,Tuesday,High
2016-03-13 16:00:00,3,9,16,Sunday,Low
2016-05-06 11:00:00,3,11,11,Friday,Low
2016-12-09 01:00:00,1,58,1,Friday,High
